taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8436459	Rubus fruticosus L.	8436459	Rubus fruticosus L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rubus	2988638	Rubus fruticosus	8436459	NE
9746959	Rochia nilotica (Linnaeus, 1767)	9746959	Rochia nilotica (Linnaeus, 1767)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Trochida	9715180	Tegulidae	7437686	Rochia	3245037	Rochia nilotica	9746959	NE
7899	Tingidae	7899	Tingidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Tingidae	7899					
1790863	Corgatha ancistrodes Turner, 1936	1790863	Corgatha ancistrodes Turner, 1936	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Corgatha	1790850	Corgatha ancistrodes	1790863	NE
1882413	Scoparia Haworth, 1811	1882413	Scoparia Haworth, 1811	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Scoparia	1882413			NE
1966977	Zermizinga sinuata (Warren, 1897)	1966977	Zermizinga sinuata (Warren, 1897)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Zermizinga	1966975	Zermizinga sinuata	1966977	NE
2172922	Sandalodes superbus (Karsch, 1878)	2172922	Sandalodes superbus (Karsch, 1878)	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Sandalodes	2172919	Sandalodes superbus	2172922	NE
2374798	Caesio teres Seale, 1906	2374798	Caesio teres Seale, 1906	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Caesionidae	8509	Caesio	2374771	Caesio teres	2374798	LC
2381299	Kyphosus bigibbus Lacepède, 1801	2381299	Kyphosus bigibbus Lacepède, 1801	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Kyphosidae	4279	Kyphosus	2381286	Kyphosus bigibbus	2381299	LC
2388876	Cephalopholis cyanostigma (Valenciennes, 1828)	2388876	Cephalopholis cyanostigma (Valenciennes, 1828)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Serranidae	8597	Cephalopholis	2388808	Cephalopholis cyanostigma	2388876	LC
